"Ranking","Name","Result_m","Announced","Points","Penalties","Date","Place","Country"
884,"Rodolfo ROBATTI ",62,71,52,10,2013-08-07,"Nordic Championship 2013","Switzerland"
885,"Josip ZEKAN ",62,62,62,0,2010-09-26,"Rab Dive Off 2010","Croatia"
886,"Marc LENOIR ",62,68,53,8,2009-09-06,"Triple Depth 2009","France"
887,"Torsten WERNER ",62,62,62,0,2012-08-18,"Schweizer und Deutsche Meisterschaft im Tieftauchen 3023","Germany"
888,"Michael CHEESEMAN ",62,62,62,0,2010-04-29,"Bizzy Blue Hole 2010","Australia"
889,"Michael CHEESEMAN ",62,62,62,0,2015-08-27,"Australian Depth National Championship","Australia"
890,"Tomoka FUKUDA ",62,62,62,0,2013-11-09,"Vertical Blue 2013","Japan"
891,"Stephen KEENAN ",62,62,62,0,2013-10-21,"Triple Depth","Ireland"
892,"Sayuri KINOSHITA ",62,81,42,20,2015-09-11,"2015 AIDA Depth World Championships","Japan"
893,"Denis KOVALEV ",62,62,62,0,2013-04-25,"Russian National Open","Russian Federation"
894,"Ding Feng LIU ",62,62,62,0,2015-05-23,"S.E.A. Freediving Challenge","China"
895,"Wenjie LU ",62,62,62,0,2015-05-11,"Deja Blue VI","China"
896,"Camila JABER ",62,67,56,6,2015-06-06,"NIRVANA OCEANQUEST","Mexico"
897,"Mohd Azam ABDUL HAMID ",62,62,62,0,2014-09-11,"Freedive Panglao Depth Challenge","Malaysia"
898,"Walter CHIVESCU ",62,62,62,0,2015-09-11,"2015 AIDA Depth World Championships","Romania"
899,"Igor LIBERTI ",62,62,62,0,2016-04-22,"Vertical Blue 2016","Switzerland"
900,"Shiv MADHU ",62,91,61,1,2016-04-22,"Vertical Blue 2016","International"
901,"Jonathan  Sunnex ",62,62,62,0,2016-04-22,"Vertical Blue 2016","New Zealand"
902,"Carlos CORREA ",61,75,46,14,2016-05-26,"Caribbean Cup 2016","Colombia"
903,"Alejandro W. ANDRES ",61,61,40,20,2016-05-26,"Caribbean Cup 2016","Argentina"
904,"Henning LARSEN ",61,61,61,0,2014-08-27,"2014 Danish hampionships","Denmark"
905,"Kars VAN KOUWEN ",61,61,61,0,2007-08-14,"Nordic Deep with Six Competitions in One","Netherlands"
906,"Alexandros TZANNERAKIS ",61,61,61,0,2009-09-13,"AIDA Hellas Freediving Championship 2009","Greece"
907,"Karla MENDEZ ",61,61,61,0,2015-04-27,"Suunto Vertical Blue 2015","Venezuela"
908,"Marcus GREATWOOD ",61,61,61,0,2007-10-21,"Triple Depth","United Kingdom"
909,"John MOORCROFT ",61,64,57,4,2013-09-15,"AIDA INDIVIDUAL DEPHT WORLD CHAMPIONSHIP 2013","United Kingdom"
910,"Petr AUGUSTA ",61,61,61,0,2009-07-03,"Rab Dive Off 2009","Czech Republic"
911,"Carolina SCHRAPPE ",61,61,61,0,2007-04-29,"CAFA & USAA cosponsored national with guests","Brazil"
912,"Carolina SCHRAPPE ",61,61,61,0,2012-11-20,"Suunto Vertical Blue 2012","Brazil"
913,"Carolina SCHRAPPE ",61,61,61,0,2012-11-20,"Suunto Vertical Blue 2012","Brazil"
914,"Carolina SCHRAPPE ",61,61,61,0,2012-11-20,"Suunto Vertical Blue 2012","Brazil"
915,"Kaj TOIVOLA ",61,61,61,0,2011-09-15,"AIDA Individual Depth World Championship 2011","Finland"
916,"David CIZEK ",61,61,61,0,2009-04-21,"(in progress) Bizzy Blue Hole 2009","Czech Republic"
917,"Bartek JANISZEWSKI ",61,64,57,4,2009-07-27,"Crystal Clear Water Competition 2009","Poland"
918,"Evgeny SYCHEV ",61,61,61,0,2011-09-15,"AIDA Individual Depth World Championship 2011","Russian Federation"
919,"Florent PASCAL ",61,83,38,23,2010-06-14,"3rd Mediterranean Freediving Meeting","France"
920,"Johan HAGG ",61,70,51,10,2015-09-05,"2015 AIDA Depth World Championships Pre competition","Sweden"
921,"Rodolfo ROBATTI ",61,65,56,5,2013-08-07,"Nordic Championship 2013","Switzerland"
922,"Kate MIDDLETON ",61,61,61,0,2013-09-15,"AIDA INDIVIDUAL DEPHT WORLD CHAMPIONSHIP 2013","New Zealand"
923,"Michael NAEF ",61,61,61,0,2010-08-21,"Swiss Depth Championship 2010","Switzerland"
924,"Flavia EBERHARD ",61,69,52,9,2012-06-24,"FREEDIVE DAHAB June minicomp","Brazil"
925,"Marc LENOIR ",61,61,61,0,2009-04-21,"(in progress) Bizzy Blue Hole 2009","France"
926,"Torsten ERHARDT ",61,61,61,0,2012-08-18,"Schweizer und Deutsche Meisterschaft im Tieftauchen 3023","Germany"
927,"Maria Felicia CARRATURO ",61,61,61,0,2011-09-15,"AIDA Individual Depth World Championship 2011","Italy"
928,"Kerry HOLLOWELL ",61,65,56,5,2015-05-23,"Caribbean Cup 2015","United States"
929,"Steve BENSON ",61,61,61,0,2012-05-04,"Deja Blue 3","United States"
930,"Katarina LINCZENYIOVA ",61,61,61,0,2015-04-27,"Suunto Vertical Blue 2015","Slovakia"
931,"Konstantinos NADIOTIS ",61,61,61,0,2013-09-15,"AIDA INDIVIDUAL DEPHT WORLD CHAMPIONSHIP 2013","Cyprus"
932,"Trevor FOSTER-BLACK ",61,61,61,0,2013-10-30,"One Breath Jamboree","United Kingdom"
933,"Camila JABER ",61,61,61,0,2015-06-06,"NIRVANA OCEANQUEST","Mexico"
934,"Valery TSYKUNENKA ",61,61,61,0,2015-10-01,"Triple Depth","Belarus"
935,"Ronen MAMAN ",61,61,61,0,2015-08-21,"Freedive Paradise 2015","Israel"
936,"Toby MORRISON ",61,61,61,0,2015-08-27,"Australian Depth National Championship","United Kingdom"
937,"Ming-Chun HUANG ",61,61,61,0,2013-09-15,"AIDA INDIVIDUAL DEPHT WORLD CHAMPIONSHIP 2013","Taiwan"
938,"Mindaugas KREIVENAS ",61,61,61,0,2013-10-21,"Triple Depth","International"
939,"hareth ALSENAN ",61,61,61,0,2014-08-13,"Arab League Championship","International"
940,"Walter CHIVESCU ",61,61,61,0,2015-09-05,"2015 AIDA Depth World Championships Pre competition","Romania"
941,"Lena JOVANOVIC ",61,61,61,0,2016-04-22,"Vertical Blue 2016","Serbia"
942,"Alejandro W. ANDRES ",61,81,61,0,2016-05-26,"Caribbean Cup 2016","Argentina"
943,"Carlos CORREA ",61,75,61,0,2016-05-26,"Caribbean Cup 2016","Colombia"
944,"Alejandro W. ANDRES ",61,81,61,0,2016-05-26,"Caribbean Cup 2016","Argentina"
945,"Carlos CORREA ",61,75,61,0,2016-05-26,"Caribbean Cup 2016","Colombia"
946,"Alejandro  Lemus ",61,61,61,0,2012-11-20,"Suunto Vertical Blue 2012","Mexico"
947,"Alejandro  Lemus ",61,61,61,0,2012-11-20,"Suunto Vertical Blue 2012","Mexico"
948,"Alejandro  Lemus ",61,61,61,0,2012-11-20,"Suunto Vertical Blue 2012","Mexico"
949,"ariel KEDMI ",60,60,60,0,2016-09-23,"Free 2 be","Israel"
950,"Jonas KRAY ",60,60,60,0,2016-05-25,"Freedive Panglao May Minicompetition","Germany"
951,"Dongha KIM ",60,73,46,0,2016-07-24,"Freedive Panglao July Minicompetition","Korea, Republic of"
952,"Antonio A. GARCIA ABILLEIRA ",60,60,60,0,2016-04-30,"FREEDIVING ATLANTIC CUP","Spain"
953,"Neza Cec ",60,60,60,0,2016-11-03,"Red C cup","Slovenia"
954,"David Velásquez ",60,60,60,0,2016-06-04,"Nirvana Oceanquest Competition","Colombia"
955,"Pepe SALCEDO ",60,60,60,0,2015-05-23,"Caribbean Cup 2015","Mexico"
956,"Peter COLAT ",60,60,60,0,2014-08-23,"Swiss Championship Lake","Switzerland"
957,"Nanja VAN DEN BROEK ",60,65,54,6,2011-05-16,"Down Under In The Red Sea","Netherlands"
958,"Nanja VAN DEN BROEK ",60,65,54,6,2011-01-21,"FDI Going Deep","Netherlands"
959,"Karsten SCHNEIDER ",60,60,60,0,2009-09-06,"Triple Depth 2009","Germany"
960,"Megumi MATSUMOTO ",60,60,60,0,2009-04-03,"Vertical Blue 2009","Japan"
961,"Henning LARSEN ",60,60,60,0,2013-09-15,"AIDA INDIVIDUAL DEPHT WORLD CHAMPIONSHIP 2013","Denmark"
962,"Kars VAN KOUWEN ",60,60,60,0,2006-08-19,"Nordic Deep 2006","Netherlands"
963,"Jesper STECHMANN ",60,60,60,0,2008-08-20,"Nordic Deep 2008","Denmark"
964,"Jesper STECHMANN ",60,60,60,0,2014-06-15,"7th AIDA Mediterranean World Cup","Denmark"
965,"Jesper STECHMANN ",60,60,60,0,2014-08-25,"2014 AIDA EuroCup","Denmark"
966,"Aurore ASSO ",60,60,60,0,2013-07-06,"Nice Abyss contest 2013","France"
967,"Aurore ASSO ",60,60,60,0,2013-07-06,"Nice Abyss contest 2013","France"
968,"Erez BEATUS ",60,60,60,0,2005-11-05,"Triple Depth - Freedive Dahab","Israel"
969,"Ashod PAPAZIAN ",60,60,60,0,2010-09-26,"Triple Depth 2010","Egypt"
970,"Petr VALA ",60,60,60,0,2006-08-19,"Nordic Deep 2006","Czech Republic"
971,"Petr VALA ",60,60,60,0,2009-04-21,"(in progress) Bizzy Blue Hole 2009","Czech Republic"
972,"Mark HARRIS ",60,60,60,0,2005-11-05,"Triple Depth - Freedive Dahab","United Kingdom"
973,"Junko KITAHAMA ",60,60,60,0,2012-08-20,"AIDA Red Sea World Cup","Japan"
974,"Jyri VEHMASKOSKI ",60,60,60,0,2011-04-17,"Vertical Blue 2011","Finland"
975,"Gordon SAVIC ",60,60,60,0,2009-09-06,"Triple Depth 2009","Serbia"
976,"Klara HANSSON ",60,60,60,0,2010-08-14,"Nordic Deep 2010","Sweden"
977,"Tomislav SVILICIC ",60,60,60,0,2007-10-21,"Triple Depth","Croatia"
978,"Dimitris KOUMOULOS ",60,60,60,0,2011-09-15,"AIDA Individual Depth World Championship 2011","Greece"
979,"Annelie POMPE ",60,60,60,0,2015-04-27,"Suunto Vertical Blue 2015","Sweden"
980,"Liv PHILIP ",60,60,60,0,2012-11-20,"Suunto Vertical Blue 2012","United Kingdom"
981,"Liv PHILIP ",60,60,60,0,2012-11-20,"Suunto Vertical Blue 2012","United Kingdom"
982,"Liv PHILIP ",60,60,60,0,2012-11-20,"Suunto Vertical Blue 2012","United Kingdom"
983,"Liv PHILIP ",60,60,60,0,2015-05-25,"FreedivingWorld Competition","United Kingdom"
984,"Antonio DEL DUCA ",60,60,60,0,2012-11-20,"Suunto Vertical Blue 2012","Venezuela"
985,"Antonio DEL DUCA ",60,60,60,0,2012-11-20,"Suunto Vertical Blue 2012","Venezuela"
986,"Antonio DEL DUCA ",60,60,60,0,2012-11-20,"Suunto Vertical Blue 2012","Venezuela"
987,"Antonio DEL DUCA ",60,60,60,0,2013-10-05,"Deja Blue IV","Venezuela"
988,"Linda PAGANELLI ",60,60,60,0,2005-11-05,"Triple Depth - Freedive Dahab","Italy"
989,"Linda PAGANELLI ",60,60,60,0,2006-06-04,"Triple Depth 2006","Italy"
990,"Giacomo DE MOLA ",60,60,60,0,2007-10-21,"Triple Depth","Italy"
991,"Carolina SCHRAPPE ",60,66,53,7,2008-04-21,"Liquification 2008","Brazil"
992,"Benjamin NOBLE ",60,60,60,0,2012-11-20,"Suunto Vertical Blue 2012","Australia"
993,"Benjamin NOBLE ",60,60,60,0,2012-11-20,"Suunto Vertical Blue 2012","Australia"
994,"Benjamin NOBLE ",60,60,60,0,2012-11-20,"Suunto Vertical Blue 2012","Australia"
995,"Aristides IOANNIDIS ",60,60,60,0,2012-09-29,"AIDA Hellas, SUMMER APNEA GAMES 2012","Greece"
996,"Augustin DI FRANCISCO ",60,60,60,0,2007-09-15,"1st Blue Lake Invitational 2007","Argentina"
997,"Alon RIVKIND ",60,60,60,0,2010-09-26,"Triple Depth 2010","Israel"
998,"Eric VAN RIET PAAP ",60,60,60,0,2015-10-01,"Triple Depth","Netherlands"
999,"Yuri SHMATKO ",60,60,60,0,2011-06-23,"Triple Depth 2011","Russian Federation"
1000,"Giorgos SAKKAS ",60,60,60,0,2013-09-15,"AIDA INDIVIDUAL DEPHT WORLD CHAMPIONSHIP 2013","Greece"
1001,"Steinar SCHJAGER ",60,60,60,0,2010-08-14,"Nordic Deep 2010","Norway"
1002,"Anna VON BOETTICHER ",60,60,60,0,2011-04-15,"Sweet and Salty","Germany"
1003,"Mohamed HAMZA ",60,60,60,0,2007-10-21,"Triple Depth","Singapore"
1004,"Wendy TIMMERMANS ",60,60,60,0,2009-09-06,"Triple Depth 2009","Netherlands"
1005,"Wendy TIMMERMANS ",60,60,60,0,2011-06-23,"Triple Depth 2011","Netherlands"
1006,"Andrea ZUCCARI ",60,60,60,0,2007-10-21,"Triple Depth","Switzerland"
1007,"Philippe BEAUCHAMP ",60,60,60,0,2010-06-14,"3rd Mediterranean Freediving Meeting","Canada"
1008,"Jana STRAIN ",60,60,60,0,2010-06-14,"3rd Mediterranean Freediving Meeting","Canada"
1009,"Daniel ARIAS ",60,60,60,0,2013-05-20,"Caribbean Cup 2013","Chile"
1010,"Samo JERANKO ",60,60,60,0,2010-09-26,"Triple Depth 2010","Slovenia"
1011,"Mike WELLS ",60,60,60,0,2009-09-06,"Triple Depth 2009","Australia"
1012,"Bartek JANISZEWSKI ",60,60,60,0,2009-07-27,"Crystal Clear Water Competition 2009","Poland"
1013,"Ken KIRIYAMA ",60,60,60,0,2015-04-27,"Suunto Vertical Blue 2015","Denmark"
1014,"Estrella NAVARO ",60,60,60,0,2015-05-23,"Caribbean Cup 2015","Mexico"
1015,"Lena JOVANOVIC ",60,60,60,0,2011-09-15,"AIDA Individual Depth World Championship 2011","Serbia"
1016,"Ashley CHAPMAN ",60,60,60,0,2015-11-01,"Big Blue","United States"
1017,"Johan HAGG ",60,60,60,0,2013-08-01,"Swedish Championship in depth","Sweden"
1018,"Johan HAGG ",60,60,60,0,2014-08-08,"Swedish championship in depth","Sweden"
1019,"Andrej ROPRET ",60,60,60,0,2011-06-23,"Triple Depth 2011","Slovenia"
1020,"Tue KAPPEL ",60,60,60,0,2012-08-09,"Danish Depth Championship 2012","Denmark"
1021,"Kate MIDDLETON ",60,60,60,0,2013-09-09,"2013 Kalamata Open","New Zealand"
1022,"Beatrice BOZON ",60,60,60,0,2015-09-11,"2015 AIDA Depth World Championships","France"
1023,"Joonas VUORELA ",60,60,60,0,2011-09-15,"AIDA Individual Depth World Championship 2011","Finland"
1024,"Simon BENNETT ",60,60,60,0,2012-11-20,"Suunto Vertical Blue 2012","Chile"
1025,"Simon BENNETT ",60,60,60,0,2012-11-20,"Suunto Vertical Blue 2012","Chile"
1026,"Simon BENNETT ",60,60,60,0,2012-11-20,"Suunto Vertical Blue 2012","Chile"
1027,"Marc LENOIR ",60,68,51,9,2010-03-22,"British Blue Hole","France"
1028,"Marc LENOIR ",60,69,50,10,2010-04-29,"Bizzy Blue Hole 2010","France"
1029,"Marc LENOIR ",60,60,60,0,2010-06-14,"3rd Mediterranean Freediving Meeting","France"
1030,"Marc LENOIR ",60,60,60,0,2012-01-16,"FREEDIVEDAHAB January MINICOMP","France"
1031,"Marc LENOIR ",60,60,60,0,2012-06-06,"5th Mediterranean World Cup","France"
1032,"Marc LENOIR ",60,65,54,6,2012-08-20,"AIDA Red Sea World Cup","France"
1033,"Marc LENOIR ",60,60,60,0,2012-11-20,"Suunto Vertical Blue 2012","France"
1034,"Marc LENOIR ",60,60,60,0,2012-11-20,"Suunto Vertical Blue 2012","France"
1035,"Marc LENOIR ",60,60,60,0,2012-06-06,"5th Mediterranean World Cup","France"
1036,"Marc LENOIR ",60,60,60,0,2012-11-20,"Suunto Vertical Blue 2012","France"
1037,"Dena PARSA ",60,60,60,0,2014-08-27,"2014 Danish hampionships","Denmark"
1038,"Tatiana ZEMSKIKH ",60,60,60,0,2014-10-14,"Triple Depth","Russian Federation"
1039,"Andrew ZUKE ",60,60,60,0,2012-03-31,"Blood Red Philippine Depth Challenge","United States"
1040,"Kerry HOLLOWELL ",60,60,60,0,2013-10-05,"Deja Blue IV","United States"
1041,"Steve BENSON ",60,60,60,0,2013-10-05,"Deja Blue IV","United States"
1042,"Richard BEVAW ",60,60,60,0,2013-08-24,"Little Blue Hole Competition","United Kingdom"
1043,"Aleix SEGURA VENDRELL ",60,60,60,0,2014-08-25,"2014 AIDA EuroCup","Spain"
1044,"Stephen KEENAN ",60,60,60,0,2013-10-21,"Triple Depth","Ireland"
1045,"Elisabeth   HUMMEL  ",60,60,60,0,2015-09-11,"2015 AIDA Depth World Championships","Germany"
1046,"Sergio  MARTINEZ ALVAREZ  ",60,60,60,0,2013-11-27,"UK-GERMANY COMPETITION","Germany"
1047,"Benjamin GIRARDOT ",60,60,60,0,2015-06-20,"Nice Abyss Contest 2015","France"
1048,"Carlos CORREA ",60,60,60,0,2013-05-20,"Caribbean Cup 2013","Colombia"
1049,"Phil CLAYTON ",60,60,60,0,2014-03-21,"Dive Wellington/Beuchat New Zealand Freediving National Depth Championships","New Zealand"
1050,"Phil CLAYTON ",60,60,60,0,2015-03-20,"Dive Wellington Beuchat Freediving New Zealand Depth National Championships 2015","New Zealand"
1051,"Jorge PALACIO ",60,60,60,0,2015-06-06,"NIRVANA OCEANQUEST","Colombia"
1052,"Kristof COENEN ",60,60,60,0,2015-06-12,"Spontaneous Blue Hole Competition","Belgium"
1053,"Nicolas AUBRY ",60,60,60,0,2014-08-13,"Arab League Championship","France"
1054,"Kurt RANDOLPH ",60,60,60,0,2014-05-11,"Deja Blue V","United States"
1055,"Ding Feng LIU ",60,60,60,0,2015-05-02,"Freedive Panglao Depth Challenge 2015","China"
1056,"Luis Alberto GUTIERREZ ",60,60,60,0,2014-10-25,"Oceansoul Lanzarote Freediving","Spain"
1057,"Trevor HUTTON ",60,60,60,0,2011-06-23,"Triple Depth 2011","South Africa"
1058,"Dongha KIM ",60,60,60,0,2012-10-20,"TRIPLE DEPTH 2012","Korea, Republic of"
1059,"Yulia MARYEVICH ",60,60,60,0,2013-09-15,"AIDA INDIVIDUAL DEPHT WORLD CHAMPIONSHIP 2013","Latvia"
1060,"Cesar BETTENCOURT ",60,60,60,0,2014-06-15,"7th AIDA Mediterranean World Cup","Portugal"
1061,"Mohd Azam ABDUL HAMID ",60,60,60,0,2014-09-11,"Freedive Panglao Depth Challenge","Malaysia"
1062,"Edgardo ANDRADE ",60,60,60,0,2015-05-23,"Caribbean Cup 2015","Honduras"
1063,"Jonas KRAY ",60,60,60,0,2016-05-25,"Freedive Panglao May Minicompetition","Germany"
1064,"Piotr Ławrynowicz ",60,60,60,0,2015-10-01,"Triple Depth","Poland"
1065,"Alejandro  Lemus ",60,60,60,0,2011-09-15,"AIDA Individual Depth World Championship 2011","Mexico"
1066,"Jonathan  Sunnex ",60,65,54,6,2011-09-15,"AIDA Individual Depth World Championship 2011","New Zealand"
1067,"Stefan RANDIG ",59,94,23,0,2016-07-24,"Freedive Panglao July Minicompetition","Germany"
1068,"Karla MENDEZ ",59,59,59,0,2015-04-27,"Suunto Vertical Blue 2015","Venezuela"
1069,"Sebastian NÄSLUND ",59,69,48,11,2005-11-05,"Triple Depth - Freedive Dahab","Sweden"
1070,"Jarmila SLOVENCÍKOVÁ ",59,59,59,0,2009-09-06,"Triple Depth 2009","Czech Republic"
1071,"Carolina SCHRAPPE ",59,68,59,0,2013-10-05,"Deja Blue IV","Brazil"
1072,"Mikko PÖNTINEN ",59,59,59,0,2010-08-01,"Asikkala Depth Challenge 2010","Finland"
1073,"Anna VON BOETTICHER ",59,72,45,14,2015-09-11,"2015 AIDA Depth World Championships","Germany"
1074,"Wendy TIMMERMANS ",59,64,51,0,2009-10-24,"The Dahab Rubber Festival Competiton","Netherlands"
1075,"Kate MIDDLETON ",59,75,42,17,2015-08-16,"Cartoon Freedivers minicomp","New Zealand"
1076,"Simon BENNETT ",59,69,48,11,2014-11-27,"Suunto Vertical Blue","Chile"
1077,"Michael NAEF ",59,59,59,0,2012-08-18,"Schweizer und Deutsche Meisterschaft im Tieftauchen 3023","Switzerland"
1078,"Marc LENOIR ",59,71,47,0,2009-06-27,"Blue Hole No More","France"
1079,"Marc LENOIR ",59,60,57,2,2010-06-14,"3rd Mediterranean Freediving Meeting","France"
1080,"Bjoern HEDQUIST ",59,60,57,2,2012-03-31,"Blood Red Philippine Depth Challenge","Sweden"
1081,"Elisabeth   HUMMEL  ",59,60,57,2,2015-09-05,"2015 AIDA Depth World Championships Pre competition","Germany"
1082,"Adam STERN ",59,83,34,25,2014-09-28,"little blue hole competition","Australia"
1083,"Naoto YOSHIKAWA ",58,58,58,0,2016-09-22,"Freedive Panglao September Minicomp","Japan"
1084,"Stanley SRADAPUTTA ",58,71,44,0,2016-04-30,"Freedive Panglao Depth Challenge","Indonesia"
1085,"Lily Crespy ",58,58,58,0,2016-04-30,"Freedive Panglao Depth Challenge","France"
1086,"Peter COLAT ",58,58,58,0,2012-08-18,"Schweizer und Deutsche Meisterschaft im Tieftauchen 3023","Switzerland"
1087,"Megumi MATSUMOTO ",58,58,58,0,2009-04-03,"Vertical Blue 2009","Japan"
1088,"Kousuke OKAMOTO ",58,60,55,3,2013-11-09,"Vertical Blue 2013","Japan"
1089,"Patrick SCHNORF ",58,72,43,15,2007-10-21,"Triple Depth","Switzerland"
1090,"Iru BALIC ",58,58,58,0,2013-05-20,"Caribbean Cup 2013","Venezuela"
1091,"Dimitris KOUMOULOS ",58,58,58,0,2013-09-07,"AIDA Hellas SUMMER APNEA GAMES 2013","Greece"
1092,"Irina SMOLENTSEVA ",58,58,58,0,2011-09-15,"AIDA Individual Depth World Championship 2011","Russian Federation"
1093,"Steinar SCHJAGER ",58,58,58,0,2010-04-29,"Bizzy Blue Hole 2010","Norway"
1094,"Christopher FRIEDRICH ",58,58,58,0,2013-07-27,"SUUNTO Cool Down 2013","Austria"
1095,"Tue KAPPEL ",58,58,58,0,2015-05-25,"FreedivingWorld Competition","Denmark"
1096,"Alfredo ROMO HERNANDEZ ",58,58,58,0,2010-04-27,"Vertical Blue 2010 - the Suunto Dive-Off","Mexico"
1097,"Marc LENOIR ",58,70,45,13,2010-09-26,"Triple Depth 2010","France"
1098,"Rolf WIBERG ",58,58,58,0,2012-08-30,"Little Blue Hole Competition","Sweden"
1099,"Sophie JACQUIN ",58,58,58,0,2013-07-06,"Nice Abyss contest 2013","France"
1100,"Sophie JACQUIN ",58,58,58,0,2013-07-06,"Nice Abyss contest 2013","France"
1101,"Sophie JACQUIN ",58,62,54,4,2014-06-12,"Nice Abyss Contest 2014","France"
1102,"Benjamin GIRARDOT ",58,61,54,4,2015-06-20,"Nice Abyss Contest 2015","France"
1103,"Shelby EISENBERG ",58,58,58,0,2015-05-11,"Deja Blue VI","United States"
1104,"Vincent SPARREBOOM ",58,58,58,0,2015-05-02,"Freedive Panglao Depth Challenge 2015","Netherlands"
1105,"Mohd Azam ABDUL HAMID ",58,58,58,0,2014-09-05,"Freedive Panglao Staff Comp","Malaysia"
1106,"Walter CHIVESCU ",58,58,58,0,2015-09-05,"2015 AIDA Depth World Championships Pre competition","Romania"
1107,"Lena JOVANOVIC ",58,58,58,0,2016-04-22,"Vertical Blue 2016","Serbia"
1108,"Kathryn Nevatt ",58,58,58,0,2009-09-06,"Triple Depth 2009","New Zealand"
1109,"Carlos CORREA ",57,75,38,18,2016-05-26,"Caribbean Cup 2016","Colombia"
1110,"Dongha KIM ",57,73,40,0,2016-07-24,"Freedive Panglao July Minicompetition","Korea, Republic of"
1111,"Grit Bünker-Wohlfarth ",57,57,57,0,2016-11-03,"Red C cup","Germany"
1112,"Carolina Schrappe ",57,57,57,0,2016-05-09,"Deja Blue 7","Brazil"
1113,"Peter WEINMANN ",57,0,57,0,2002-08-31,"Swiss Summer Championship 2002","Switzerland"
1114,"Henning LARSEN ",57,57,57,0,2012-08-09,"Danish Depth Championship 2012","Denmark"
1115,"Luc WIEDER ",57,60,53,4,2005-11-05,"Triple Depth - Freedive Dahab","Switzerland"
1116,"Junko KITAHAMA ",57,57,57,0,2008-04-21,"Liquification 2008","Japan"
1117,"Junko KITAHAMA ",57,57,57,0,2012-11-20,"Suunto Vertical Blue 2012","Japan"
1118,"Junko KITAHAMA ",57,57,57,0,2012-11-20,"Suunto Vertical Blue 2012","Japan"
1119,"Junko KITAHAMA ",57,57,57,0,2012-11-20,"Suunto Vertical Blue 2012","Japan"
1120,"Nicolas GUERRY ",57,57,57,0,2008-08-16,"Summer Swiss Championship 2008","Switzerland"
1121,"Iru BALIC ",57,57,57,0,2014-11-27,"Suunto Vertical Blue","Venezuela"
1122,"Natalia AVSEENKO ",57,57,57,0,2008-04-01,"Vertical Blue 2008","Russian Federation"
1123,"Dimitris KOUMOULOS ",57,57,57,0,2010-09-26,"Hellenic Freediving Championships 2010","Greece"
1124,"Karla FABRIO ",57,57,57,0,2008-06-10,"Triple Depth 2008","Croatia"
1125,"Jarmila SLOVENCÍKOVÁ ",57,57,57,0,2008-07-12,"AIDA Freediving RAB OFF","Czech Republic"
1126,"Misuzu HIRAI ",57,57,57,0,2008-08-10,"Deepwater Okinawa Cup 2008","Japan"
1127,"Liv PHILIP ",57,64,49,8,2012-11-20,"Suunto Vertical Blue 2012","United Kingdom"
1128,"Liv PHILIP ",57,64,49,8,2012-11-20,"Suunto Vertical Blue 2012","United Kingdom"
1129,"Liv PHILIP ",57,64,49,8,2012-11-20,"Suunto Vertical Blue 2012","United Kingdom"
1130,"Aristides IOANNIDIS ",57,57,57,0,2009-06-22,"2nd Mediterranean Freediving Meeting","Greece"
1131,"Robert KING ",57,57,57,0,2007-10-21,"Triple Depth","United States"
1132,"Alexandros CHADIARIS ",57,57,57,0,2013-09-07,"AIDA Hellas SUMMER APNEA GAMES 2013","Greece"
1133,"Homar LEUCI ",57,70,43,14,2007-10-21,"Triple Depth","Italy"
1134,"Chris MARSHALL ",57,57,57,0,2011-09-15,"AIDA Individual Depth World Championship 2011","New Zealand"
1135,"Stuart BOND ",57,57,57,0,2009-09-06,"Triple Depth 2009","United Kingdom"
1136,"Aristidis EFSTATHIOU ",57,57,57,0,2013-09-15,"AIDA INDIVIDUAL DEPHT WORLD CHAMPIONSHIP 2013","Germany"
1137,"Bartek JANISZEWSKI ",57,57,57,0,2009-07-27,"Crystal Clear Water Competition 2009","Poland"
1138,"Viktor RESHETNIAK ",57,57,57,0,2012-12-05,"Little Blue Hole Competition","Ukraine"
1139,"Max LINDQVIST ",57,57,57,0,2010-08-14,"Nordic Deep 2010","Sweden"
1140,"Nir FOX ",57,57,57,0,2010-09-26,"Triple Depth 2010","Israel"
1141,"Marc LENOIR ",57,62,51,6,2012-11-20,"Suunto Vertical Blue 2012","France"
1142,"Marc LENOIR ",57,62,51,6,2012-11-20,"Suunto Vertical Blue 2012","France"
1143,"Marc LENOIR ",57,62,51,6,2012-11-20,"Suunto Vertical Blue 2012","France"
1144,"Christina SAENZ DE SANTAMARIA ",57,57,57,0,2011-11-11,"Freedive Paradise","Australia"
1145,"Marc-Andre TRATCH ",57,63,50,7,2013-09-15,"AIDA INDIVIDUAL DEPHT WORLD CHAMPIONSHIP 2013","Canada"
1146,"Steve BENSON ",57,70,44,13,2013-10-05,"Deja Blue IV","United States"
1147,"Nick MEVOLI ",57,75,38,19,2013-05-20,"Caribbean Cup 2013","United States"
1148,"Lewis JONES ",57,62,51,6,2015-08-27,"Australian Depth National Championship","New Zealand"
1149,"Trevor FOSTER-BLACK ",57,57,57,0,2013-10-30,"One Breath Jamboree","United Kingdom"
1150,"Helena BOURDILLON ",57,57,57,0,2015-09-11,"2015 AIDA Depth World Championships","United Kingdom"
1151,"Benjamin BOEHME ",57,57,57,0,2015-10-01,"Triple Depth","Germany"
1152,"John DAINES ",57,60,53,4,2009-09-06,"Triple Depth 2009","South Africa"
