"Ranking","Name","Result_m","Announced","Points","Penalties","Date","Place","Country"
2704,"Giogos LAGOS ",30,30,30,0,2012-10-14,"AIDA CYPRUS Depth Games 2012","Cyprus"
2705,"Helen Evi  HOLROYD ",30,30,30,0,2014-06-29,"CYPRUS SUMMER GAMES 2014","Cyprus"
2706,"Rakel CALDERER ",30,30,30,0,2012-11-06,"Deep Dahab Classic","Spain"
2707,"Norifumi IBUSHI ",30,30,30,0,2014-11-27,"Suunto Vertical Blue","Japan"
2708,"Desiree Attias BALFELT ",30,30,30,0,2014-06-15,"7th AIDA Mediterranean World Cup","Denmark"
2709,"johan HASSELWANDER ",30,30,30,0,2014-08-08,"Swedish championship in depth","Sweden"
2710,"Joaquim OREILLER ",30,30,30,0,2014-08-23,"Swiss Championship Lake","Switzerland"
2711,"Antony AGRANIER ",30,45,15,15,2015-06-20,"Nice Abyss Contest 2015","France"
2712,"Julian MILLER ",30,30,30,0,2013-08-02,"Freedive Paradise in 3D","United States"
2713,"Malgorzata LISEK ",30,30,30,0,2013-08-14,"Crystal Clear Water Competition","Poland"
2714,"Alexander CHERNYSH ",30,30,30,0,2013-07-26,"DEEP UKRAINE 2013","Ukraine"
2715,"Monika ZAWISTOWSKA ",30,30,30,0,2015-08-19,"Zawody Krystalicznej Wody","Poland"
2716,"Paul MCKEOWN ",30,30,30,0,2014-03-21,"Dive Wellington/Beuchat New Zealand Freediving National Depth Championships","United Kingdom"
2717,"Klaus Wirth KRISTENSEN ",30,30,30,0,2015-05-25,"FreedivingWorld Competition","Denmark"
2718,"Michael GROENBAEK ",30,30,30,0,2014-08-27,"2014 Danish hampionships","Denmark"
2719,"Mariusz DOLEGA ",30,30,30,0,2014-08-02,"IX Indywidualne Mistrzostwa Polski","Poland"
2720,"Mariusz DOLEGA ",30,30,30,0,2015-08-19,"Zawody Krystalicznej Wody","Poland"
2721,"Iwan GOJNIK ",30,30,30,0,2014-08-23,"Swiss Championship Lake","Switzerland"
2722,"Arnd STECKENBORN ",30,30,20,10,2014-08-23,"Swiss Championship Lake","Germany"
2723,"Ralph STAUDIGL ",30,30,30,0,2015-07-11,"Cool Down 2015 - Austrian Championship","Austria"
2724,"Marcin RUTKOWSKI ",30,30,30,0,2015-08-19,"Zawody Krystalicznej Wody","Poland"
2725,"Lukasz SIERANT ",30,30,30,0,2015-08-19,"Zawody Krystalicznej Wody","Poland"
2726,"Juan Maria MOLLEJA VAZQUEZ ",30,30,30,0,2015-09-13,"III Open Costa Brava","Spain"
2727,"Meghan GILMORE ",30,30,30,0,2015-05-11,"Deja Blue VI","United States"
2728,"Juan Carlos RESTREPO CARVAJAL ",30,30,30,0,2015-06-06,"NIRVANA OCEANQUEST","Colombia"
2729,"Eben SUMNER ",30,30,30,0,2015-08-21,"Freedive Paradise 2015","United States"
2730,"Sakae MORIKAWA ",30,30,30,0,2015-09-20,"Apnea Academy Asia Cup 2015 in Shimoda","Japan"
2731,"Katie PENTZ ",30,30,30,0,2015-11-01,"Big Blue","United States"
2732,"Kim Seng TEOH ",30,30,30,0,2012-02-09,"Andaman 2012 Freediving Competition","Malaysia"
2733,"Dale GOOSEN ",30,35,24,6,2012-05-27,"UK BFA Depth Championships","South Africa"
2734,"Wessam EL SABEH AYIUN ",30,30,30,0,2012-10-20,"TRIPLE DEPTH 2012","International"
2735,"Sebastian ALAMOSO ",30,30,30,0,2013-05-20,"Caribbean Cup 2013","Chile"
2736,"Hyun Il SONG ",30,30,30,0,2014-09-11,"Freedive Panglao Depth Challenge","Korea, Republic of"
2737,"Mariam ALQATTAN ",30,30,30,0,2014-10-14,"Triple Depth","International"
2738,"igor BURGELA ",30,30,30,0,2015-05-13,"Russian National Open","International"
2739,"Mario CARCAMO WILKINSON ",30,30,30,0,2015-06-06,"NIRVANA OCEANQUEST","Chile"
2740,"Sebastian ALAMOSO ",30,30,30,0,2015-05-23,"Caribbean Cup 2015","Chile"
2741,"Ali AL KHALIFAH ",30,30,30,0,2015-03-20,"Dive Wellington Beuchat Freediving New Zealand Depth National Championships 2015","Saudi Arabia"
2742,"reda GUEHRIA ",30,30,30,0,2015-06-20,"Nice Abyss Contest 2015","International"
2743,"ANASTASIA SCHERBAKOVA ",30,30,30,0,2015-11-19,"COPA AIDA DELPHINUS","Russian Federation"
2744,"MAURO LLANOS ",30,30,30,0,2015-11-19,"COPA AIDA DELPHINUS","Colombia"
2745,"ANDRES PEREIRA ",30,30,30,0,2015-11-19,"COPA AIDA DELPHINUS","Colombia"
2746,"Joan Lluc VAZQUEZ GORRIZ ",30,30,30,0,2015-12-19,"II Oceansoul Lanzarote Freediving","Spain"
2747,"Nicolai BIRKEDAL ",30,30,30,0,2016-05-16,"Vertical Green 2016","Denmark"
2748,"Dena PARSA ",30,30,30,0,2016-05-16,"Vertical Green 2016","Denmark"
2749,"Sachiko Fukumoto ",30,30,30,0,2016-04-22,"Vertical Blue 2016","Japan"
2750,"Joan Lluc VAZQUEZ GORRIZ ",30,30,30,0,2015-12-19,"II Oceansoul Lanzarote Freediving","Spain"
2751,"Nora Lestari ",30,30,30,0,2013-10-30,"One Breath Jamboree","Indonesia"
2752,"Mohd Azam Abdul Hamid ",30,30,30,0,2011-02-10,"Andaman AIDA Freediving Challenge 2011","Malaysia"
2753,"Isabelle HERMAND ",29,32,26,3,2003-06-29,"Round 5 of the Belgium Cup 2003","Belgium"
2754,"Greg FEE ",29,29,29,0,2009-06-13,"Vancouver Apneist Triple Depth Series - FIM","Canada"
2755,"Greg FEE ",29,38,19,10,2012-05-04,"Deja Blue 3","Canada"
2756,"Guadalupe GARCIA ",29,29,29,0,2005-10-14,"Entre Dos Mares 2005","Mexico"
2757,"Nathalie HEBERT ",29,33,24,5,2010-06-14,"3rd Mediterranean Freediving Meeting","Canada"
2758,"Amit LAROM ",29,31,24,5,2009-09-06,"Triple Depth 2009","Israel"
2759,"Marcin NIEDZIELSKI ",29,36,21,8,2009-07-27,"Crystal Clear Water Competition 2009","Poland"
2760,"Katja ANDRES ",29,32,25,4,2010-04-29,"Bizzy Blue Hole 2010","Germany"
2761,"Mayra VEZ ",29,35,22,7,2009-07-25,"Swiss Depth Championship 2009","Switzerland"
2762,"Marc LENOIR ",29,72,-15,44,2012-11-20,"Suunto Vertical Blue 2012","France"
2763,"Marc LENOIR ",29,72,-15,44,2012-11-20,"Suunto Vertical Blue 2012","France"
2764,"Marc LENOIR ",29,72,-15,44,2012-11-20,"Suunto Vertical Blue 2012","France"
2765,"Julien DERUFFE ",29,41,16,13,2015-10-18,"AIDA CYPRUS DEPTH GAMES 2015","France"
2766,"Julia Wheeler ",28,28,28,0,2016-11-13,"Australian Depth National Freediving Championship 2016","Australia"
