Ranking,Name,Result_min,Announced,Points,Penalties,Date,Place,Country
11509,Matous DUCHEK ,3:37,240,38,5,7/06/2008,Czech national competition 2008,Czech Republic
11510,Timo PÃ–NTINEN ,3:37,181,43,0,25/04/2009,Sukeltaja Indoor Apnea 2009,Finland
11511,Claudia MARTISCH ,3:37,195,43,0,8/11/2009,4to Campeonato Argentino de Apnea 2009,Argentina
11512,Bernd GRAF ,3:37,210,43,0,25/10/2008,RMC 2008,Austria
11513,Luka PAZIENTI ,3:37,195,43,0,22/11/2008,4th Submania Apnea Cup,Croatia
11514,Ralph MAURIN ,3:37,210,43,0,21/04/2012,8ÃƒÂ¨me Coupe d ApnÃƒÂ©e de MontrÃƒÂ©al,France
11515,Alexander MAGLAPERIDZE ,3:37,210,43,0,19/04/2009,Freediving Moscow Cup 2009,Russian Federation
11516,Jasmine BASTOW ,3:37,195,43,0,13/02/2010,New Zealand International Freediving Challenge,Australia
11517,David KENT ,3:37,240,43,0,2/10/2010,Rhein-Main Cup 2010,United Kingdom
11518,Christofer ANDERSSON ,3:37,180,43,0,27/03/2010,Viking Pool Challenge,Sweden
11519,Onan VILLARROEL ,3:37,120,43,0,9/06/2012,Campeonato Nacional de Apnea de Piscina 2012,Venezuela
11520,Laurent BERGER ,3:37,180,43,0,18/04/2010,Swiss Indoor Championship 2010,France
11521,John PRESCOTT ,3:37,195,43,0,26/09/2010,Triple Depth 2010,United Kingdom
11522,Iben JOHANSEN ,3:37,210,43,0,20/11/2010,Danish Freediving Championship 2010,Denmark
11523,Nick UZEL ,3:37,60,43,0,22/03/2014,Great Northern 2014. International.,United Kingdom
11524,Luis Gerardo DELGADO I ZARRA ,3:37,180,43,0,26/05/2006,Campeonato Venezolano de Apnea 2006,Venezuela
11525,Martin MALI ,3:37,121,43,0,7/04/2013,OxygenFree Pool Competition 2013,Slovenia
11526,Thierry SPADOLA ,3:37,170,43,0,18/03/2012,Coupe Aida France - 9 iÃƒÂ¨me Indoor de La Ciotat,France
11527,Ikkan YOSHIDA ,3:37,120,43,0,19/05/2012,Freediving Indoor Cup 2012 in Tateyama -day of static-,Japan
11528,Werner GIOVE ,3:37,1,43,0,29/10/2011,RMC Rhein Main Cup,Germany
11529,Demetriou STYLIANOS ,3:37,120,43,0,9/09/2012,World Championship 2012,Cyprus
11530,Marie MEADER ,3:37,1,43,0,22/03/2014,Great Northern 2014. International.,United Kingdom
11531,Ursula ERBSCHWENDTNER ,3:37,180,43,0,17/02/2013,1st Tyrolean Apnea Cup,Austria
11532,Viktor ARHIPOV ,3:37,60,43,0,23/03/2013,Moscow open cup 2013,Russian Federation
11533,Lily CRESPY ,3:37,180,43,0,21/02/2015,Coupe du ChÃƒÂ¢teau,France
11534,Heike MUELLER ,3:37,150,43,0,27/12/2013,Franken Statics 2013,Germany
11535,SÃƒÂ©bastien BORGOGNON ,3:37,121,43,0,2/11/2015,Les 3 Epreuves ApneaCity: ApnÃƒÂ©e Statique (STA),Canada
11536,Rasmus Elmann VILHELMSEN ,3:37,45,43,0,9/11/2015,AFK Competition 2016,Denmark
11537,ockjin KIM ,3:37,120,43,0,8/12/2013,AFIA Personal Challenge 2013 in KOREA,"Korea, Republic of"
11538,Mariam ALQATTAN ,3:37,60,43,0,26/11/2015,Pan Pacific Championship,International
11539,inge VERBRUGGEN ,3:36,119,43.2,0,3/04/2016,3rd Open FreedivN Zottegem,Belgium
11540,Diana Hermida ,3:36,150,43.2,0,19/05/2016,Olmeca Open 2016,Mexico
